date,order_book_id,symbol,margin,margin_rate,contract_multiplier,last_price,buy_pnl,buy_margin,buy_quantity,buy_avg_open_price,sell_pnl,sell_margin,sell_quantity,sell_avg_open_price
2010-09-20,RB1101,ÂÝÎÆ¸Ö1101,781473.0,0.07,10.0,4378.0,0.0,0.0,0.0,0.0,-33383.325,781473.0,255.0,4364.908
2010-09-21,RB1101,ÂÝÎÆ¸Ö1101,770584.5,0.07,10.0,4317.0,0.0,0.0,0.0,0.0,122166.675,770584.5,255.0,4364.908
2010-09-27,RB1101,ÂÝÎÆ¸Ö1101,760053.0,0.07,10.0,4258.0,0.0,0.0,0.0,0.0,272616.675,760053.0,255.0,4364.908
2010-09-28,RB1101,ÂÝÎÆ¸Ö1101,758803.5,0.07,10.0,4251.0,0.0,0.0,0.0,0.0,290466.675,758803.5,255.0,4364.908
2010-09-29,RB1101,ÂÝÎÆ¸Ö1101,756840.0,0.07,10.0,4240.0,0.0,0.0,0.0,0.0,318516.675,756840.0,255.0,4364.908
2010-09-30,RB1101,ÂÝÎÆ¸Ö1101,760945.5,0.07,10.0,4263.0,0.0,0.0,0.0,0.0,259866.675,760945.5,255.0,4364.908
2010-10-08,RB1101,ÂÝÎÆ¸Ö1101,763801.5,0.07,10.0,4279.0,0.0,0.0,0.0,0.0,219066.675,763801.5,255.0,4364.908
2010-10-11,RB1101,ÂÝÎÆ¸Ö1101,0.0,0.07,10.0,4341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4364.908
2010-10-13,RB1101,ÂÝÎÆ¸Ö1101,783941.2,0.07,10.0,4324.0,0.0,0.0,0.0,0.0,-2799.79,783941.2,259.0,4322.919
2010-10-14,RB1101,ÂÝÎÆ¸Ö1101,0.0,0.07,10.0,4291.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4322.919
2010-10-14,RB1105,ÂÝÎÆ¸Ö1105,789213.6,0.07,10.0,4474.0,-2818.62,789213.6,252.0,4475.118,-0.0,0.0,0.0,4472.882
2010-10-15,RB1105,ÂÝÎÆ¸Ö1105,793447.2,0.07,10.0,4498.0,57661.38,793447.2,252.0,4475.118,-0.0,0.0,0.0,4472.882
2010-10-18,RB1105,ÂÝÎÆ¸Ö1105,797328.0,0.07,10.0,4520.0,113101.38,797328.0,252.0,4475.118,-0.0,0.0,0.0,4472.882
2010-10-19,RB1105,ÂÝÎÆ¸Ö1105,791683.2,0.07,10.0,4488.0,32461.38,791683.2,252.0,4475.118,-0.0,0.0,0.0,4472.882
2010-10-20,RB1105,ÂÝÎÆ¸Ö1105,0.0,0.07,10.0,4421.0,-0.0,0.0,0.0,4475.118,0.0,0.0,0.0,4472.882
2010-10-22,RB1105,ÂÝÎÆ¸Ö1105,778453.2,0.07,10.0,4413.0,0.0,0.0,0.0,0.0,-2780.19,778453.2,252.0,4411.897
2010-10-25,RB1105,ÂÝÎÆ¸Ö1105,0.0,0.07,10.0,4510.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,4411.897
2010-10-27,RB1105,ÂÝÎÆ¸Ö1105,759928.4,0.07,10.0,4486.0,-2714.03,759928.4,242.0,4487.121,-0.0,0.0,0.0,0.0
2010-10-28,RB1105,ÂÝÎÆ¸Ö1105,762977.6,0.07,10.0,4504.0,40845.97,762977.6,242.0,4487.121,-0.0,0.0,0.0,0.0
2010-10-29,RB1105,ÂÝÎÆ¸Ö1105,763147.0,0.07,10.0,4505.0,43265.97,763147.0,242.0,4487.121,-0.0,0.0,0.0,0.0
