date,cash,transaction_cost,market_value,total_value,position_pnl,trading_pnl,daily_pnl,margin
2015-02-27,15890616.559,1672.638,-16730560.0,16727144.559,0.0,-4182.64,-5855.278,836528.0
2015-03-02,15833580.559,0.0,-16784880.0,16672824.559,-54320.0,0.0,-54320.0,839244.0
2015-03-03,15862098.559,0.0,-16757720.0,16699984.559,27160.0,0.0,27160.0,837886.0
2015-03-04,15890616.559,0.0,-16730560.0,16727144.559,27160.0,0.0,27160.0,836528.0
2015-03-05,16011818.059,0.0,-16615130.0,16842574.559,115430.0,0.0,115430.0,830756.5
2015-03-06,16218573.559,0.0,-16418220.0,17039484.559,196910.0,0.0,196910.0,820911.0
2015-03-09,16346904.559,0.0,-16296000.0,17161704.559,122220.0,0.0,122220.0,814800.0
2015-03-10,16681991.059,0.0,-15976870.0,17480834.559,319130.0,0.0,319130.0,798843.5
2015-03-11,16567919.059,0.0,-16085510.0,17372194.559,-108640.0,0.0,-108640.0,804275.5
2015-03-12,16397770.505,3314.859,-16947840.0,17245162.505,-115430.0,-8287.195,-127032.054,847392.0
2015-03-13,16419159.005,0.0,-16927470.0,17265532.505,20370.0,0.0,20370.0,846373.5
2015-03-16,17076213.297,1711.508,0.0,17076213.297,-183330.0,-4277.7,-189319.208,0.0
2015-03-17,17076213.297,0.0,0.0,17076213.297,0.0,0.0,0.0,0.0
2015-03-18,16217332.85,1705.395,-17058210.0,17070243.35,0.0,-4264.553,-5969.947,852910.5
2015-03-19,16224546.35,0.0,-17051340.0,17077113.35,6870.0,0.0,6870.0,852567.0
2015-03-20,16231759.85,0.0,-17044470.0,17083983.35,6870.0,0.0,6870.0,852223.5
2015-03-23,16617566.246,1750.914,0.0,16617566.246,-460290.0,-4376.19,-466417.104,0.0
2015-03-24,16617566.246,0.0,0.0,16617566.246,0.0,0.0,0.0,0.0
2015-03-25,15781940.942,1659.219,-16596340.0,16611757.942,0.0,-4149.085,-5808.304,829817.0
2015-03-26,15893156.942,0.0,-16490420.0,16717677.942,105920.0,0.0,105920.0,824521.0
2015-03-27,15990470.942,0.0,-16397740.0,16810357.942,92680.0,0.0,92680.0,819887.0
2015-03-30,16171196.942,0.0,-16225620.0,16982477.942,172120.0,0.0,172120.0,811281.0
2015-03-31,16310216.942,0.0,-16093220.0,17114877.942,132400.0,0.0,132400.0,804661.0
2015-04-01,16595207.942,0.0,-15821800.0,17386297.942,271420.0,0.0,271420.0,791090.0
2015-04-02,16928855.942,0.0,-15504040.0,17704057.942,317760.0,0.0,317760.0,775202.0
2015-04-03,16935806.942,0.0,-15497420.0,17710677.942,6620.0,0.0,6620.0,774871.0
2015-04-07,17144336.942,0.0,-15298820.0,17909277.942,198600.0,0.0,198600.0,764941.0
2015-04-08,17053973.942,0.0,-15384880.0,17823217.942,-86060.0,0.0,-86060.0,769244.0
2015-04-09,17290307.942,0.0,-15159800.0,18048297.942,225080.0,0.0,225080.0,757990.0
2015-04-10,17457131.942,0.0,-15000920.0,18207177.942,158880.0,0.0,158880.0,750046.0
2015-04-13,17784721.264,1542.183,0.0,17784721.264,-417060.0,-3854.495,-422456.678,0.0
2015-04-14,17784721.264,0.0,0.0,17784721.264,0.0,0.0,0.0,0.0
2015-04-15,16889560.135,1777.434,-17778780.0,17778499.135,0.0,-4444.695,-6222.129,888939.0
2015-04-16,16718893.135,0.0,-17941320.0,17615959.135,-162540.0,0.0,-162540.0,897066.0
2015-04-17,16775782.135,0.0,-17887140.0,17670139.135,54180.0,0.0,54180.0,894357.0
2015-04-20,17035846.135,0.0,-17639460.0,17917819.135,247680.0,0.0,247680.0,881973.0
2015-04-21,17019592.135,0.0,-17654940.0,17902339.135,-15480.0,0.0,-15480.0,882747.0
2015-04-22,17539994.842,1801.548,0.0,17539994.842,-356040.0,-4502.745,-362344.293,0.0
2015-04-23,17539994.842,0.0,0.0,17539994.842,0.0,0.0,0.0,0.0
2015-04-24,16657567.353,1753.024,17525860.0,17533860.353,0.0,-4381.465,-6134.489,876293.0
2015-04-27,16867612.353,0.0,17746960.0,17754960.353,221100.0,0.0,221100.0,887348.0
